time_s,T_cell_1_K,T_cell_2_K,T_cell_3_K,T_cell_4_K,T_cell_5_K,T_cell_6_K,T_cell_7_K,T_cell_8_K,T_cell_9_K,T_cell_10_K,T_cell_11_K,T_cell_12_K,T_cell_13_K,T_cell_14_K,T_cell_15_K,T_cell_16_K,T_cell_17_K,T_cell_18_K,T_cell_19_K,T_cell_20_K,T_cell_21_K,T_cell_22_K,T_cell_23_K,T_cell_24_K,T_cell_25_K,T_cell_26_K,T_cell_27_K,T_cell_28_K,T_cell_29_K,T_cell_30_K,T_cell_31_K,T_cell_32_K,T_cell_33_K,T_cell_34_K,T_cell_35_K,T_cell_36_K,T_cell_37_K,T_cell_38_K,T_cell_39_K,T_cell_40_K,T_cell_41_K,T_cell_42_K,T_cell_43_K,T_cell_44_K,T_cell_45_K,T_cell_46_K,T_cell_47_K,T_cell_48_K,V_cell_1_V,V_cell_2_V,V_cell_3_V,V_cell_4_V,V_cell_5_V,V_cell_6_V,V_cell_7_V,V_cell_8_V,V_cell_9_V,V_cell_10_V,V_cell_11_V,V_cell_12_V,V_cell_13_V,V_cell_14_V,V_cell_15_V,V_cell_16_V,V_cell_17_V,V_cell_18_V,V_cell_19_V,V_cell_20_V,V_cell_21_V,V_cell_22_V,V_cell_23_V,V_cell_24_V,V_cell_25_V,V_cell_26_V,V_cell_27_V,V_cell_28_V,V_cell_29_V,V_cell_30_V,V_cell_31_V,V_cell_32_V,V_cell_33_V,V_cell_34_V,V_cell_35_V,V_cell_36_V,V_cell_37_V,V_cell_38_V,V_cell_39_V,V_cell_40_V,V_cell_41_V,V_cell_42_V,V_cell_43_V,V_cell_44_V,V_cell_45_V,V_cell_46_V,V_cell_47_V,V_cell_48_V
0.000000,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,3.831816,3.831816,3.831816,3.831816,3.831816,3.831816,3.831816,3.831816,3.831816,3.831816,3.831816,3.831816,3.831836,3.831836,3.831836,3.831836,3.831836,3.831836,3.831836,3.831836,3.831836,3.831836,3.831836,3.831836,3.831850,3.831850,3.831850,3.831850,3.831850,3.831850,3.831850,3.831850,3.831850,3.831850,3.831850,3.831850,3.831857,3.831857,3.831857,3.831857,3.831857,3.831857,3.831857,3.831857,3.831857,3.831857,3.831857,3.831857
10.000000,299.095978,299.104645,299.104645,299.095978,299.095978,299.104645,299.104645,299.095978,299.095978,299.104645,299.104645,299.095978,299.095673,299.104340,299.104340,299.095673,299.095673,299.104340,299.104340,299.095673,299.095673,299.104340,299.104340,299.095673,299.095428,299.104095,299.104095,299.095428,299.095428,299.104095,299.104095,299.095428,299.095428,299.104095,299.104095,299.095428,299.095337,299.104004,299.104004,299.095337,299.095337,299.104004,299.104004,299.095337,299.095337,299.104004,299.104004,299.095337,3.788123,3.788145,3.788145,3.788123,3.788123,3.788145,3.788145,3.788123,3.788123,3.788145,3.788145,3.788123,3.788172,3.788194,3.788194,3.788172,3.788172,3.788194,3.788194,3.788172,3.788172,3.788194,3.788194,3.788172,3.788205,3.788227,3.788227,3.788205,3.788205,3.788227,3.788227,3.788205,3.788205,3.788227,3.788227,3.788205,3.788222,3.788244,3.788244,3.788222,3.788222,3.788244,3.788244,3.788222,3.788222,3.788244,3.788244,3.788222
20.000000,300.077820,300.112640,300.112640,300.077820,300.077820,300.112640,300.112640,300.077820,300.077820,300.112640,300.112640,300.077820,300.077148,300.111969,300.111969,300.077148,300.077148,300.111969,300.111969,300.077148,300.077148,300.111969,300.111969,300.077148,300.076721,300.111511,300.111511,300.076721,300.076721,300.111511,300.111511,300.076721,300.076721,300.111511,300.111511,300.076721,300.076508,300.111298,300.111298,300.076508,300.076508,300.111298,300.111298,300.076508,300.076508,300.111298,300.111298,300.076508,3.733784,3.733872,3.733872,3.733784,3.733784,3.733872,3.733872,3.733784,3.733784,3.733872,3.733872,3.733784,3.733850,3.733938,3.733938,3.733850,3.733850,3.733938,3.733938,3.733850,3.733850,3.733938,3.733938,3.733850,3.733894,3.733982,3.733982,3.733894,3.733894,3.733982,3.733982,3.733894,3.733894,3.733982,3.733982,3.733894,3.733916,3.734004,3.734004,3.733916,3.733916,3.734004,3.734004,3.733916,3.733916,3.734004,3.734004,3.733916
30.000000,301.096649,301.175262,301.175262,301.096649,301.096649,301.175262,301.175262,301.096649,301.096649,301.175262,301.175262,301.096649,301.095673,301.174286,301.174286,301.095673,301.095673,301.174286,301.174286,301.095673,301.095673,301.174286,301.174286,301.095673,301.095062,301.173615,301.173615,301.095062,301.095062,301.173615,301.173615,301.095062,301.095062,301.173615,301.173615,301.095062,301.094727,301.173309,301.173309,301.094727,301.094727,301.173309,301.173309,301.094727,301.094727,301.173309,301.173309,301.094727,3.682239,3.682436,3.682436,3.682239,3.682239,3.682436,3.682436,3.682239,3.682239,3.682436,3.682436,3.682239,3.682312,3.682509,3.682509,3.682312,3.682312,3.682509,3.682509,3.682312,3.682312,3.682509,3.682509,3.682312,3.682360,3.682557,3.682557,3.682360,3.682360,3.682557,3.682557,3.682360,3.682360,3.682557,3.682557,3.682360,3.682384,3.682581,3.682581,3.682384,3.682384,3.682581,3.682581,3.682384,3.682384,3.682581,3.682581,3.682384
40.000000,302.161560,302.301910,302.301910,302.161560,302.161560,302.301910,302.301910,302.161560,302.161560,302.301910,302.301910,302.161560,302.160339,302.300659,302.300659,302.160339,302.160339,302.300659,302.300659,302.160339,302.160339,302.300659,302.300659,302.160339,302.159515,302.299805,302.299805,302.159515,302.159515,302.299805,302.299805,302.159515,302.159515,302.299805,302.299805,302.159515,302.159119,302.299377,302.299377,302.159119,302.159119,302.299377,302.299377,302.159119,302.159119,302.299377,302.299377,302.159119,3.630691,3.631037,3.631037,3.630691,3.630691,3.631037,3.631037,3.630691,3.630691,3.631037,3.631037,3.630691,3.630777,3.631123,3.631123,3.630777,3.630777,3.631123,3.631123,3.630777,3.630777,3.631123,3.631123,3.630777,3.630833,3.631178,3.631178,3.630833,3.630833,3.631178,3.631178,3.630833,3.630833,3.631178,3.631178,3.630833,3.630861,3.631206,3.631206,3.630861,3.630861,3.631206,3.631206,3.630861,3.630861,3.631206,3.631206,3.630861
50.000000,303.343353,303.564148,303.564148,303.343353,303.343353,303.564148,303.564148,303.343353,303.343353,303.564148,303.564148,303.343353,303.342773,303.563538,303.563538,303.342773,303.342773,303.563538,303.563538,303.342773,303.342773,303.563538,303.563538,303.342773,303.323944,303.544586,303.544586,303.323944,303.323944,303.544586,303.544586,303.323944,303.323944,303.544586,303.544586,303.323944,303.346924,303.567627,303.567627,303.346924,303.346924,303.567627,303.567627,303.346924,303.346924,303.567627,303.567627,303.346924,3.458321,3.458762,3.458762,3.458321,3.458321,3.458762,3.458762,3.458321,3.458321,3.458762,3.458762,3.458321,3.459681,3.460122,3.460122,3.459681,3.459681,3.460122,3.460122,3.459681,3.459681,3.460122,3.460122,3.459681,3.460349,3.460791,3.460791,3.460349,3.460349,3.460791,3.460791,3.460349,3.460349,3.460791,3.460791,3.460349,3.460716,3.461158,3.461158,3.460716,3.460716,3.461158,3.461158,3.460716,3.460716,3.461158,3.461158,3.460716
60.000000,306.205566,306.541504,306.541504,306.205566,306.205566,306.541504,306.541504,306.205566,306.205566,306.541504,306.541504,306.205566,306.226440,306.562408,306.562408,306.226440,306.226440,306.562408,306.562408,306.226440,306.226440,306.562408,306.562408,306.226440,306.205536,306.540985,306.540985,306.205536,306.205536,306.540985,306.540985,306.205536,306.205536,306.540985,306.540985,306.205536,306.239471,306.575531,306.575531,306.239471,306.239471,306.575531,306.575531,306.239471,306.239471,306.575531,306.575531,306.239471,2.831547,2.831543,2.831543,2.831547,2.831547,2.831543,2.831543,2.831547,2.831547,2.831543,2.831543,2.831547,2.830844,2.830839,2.830839,2.830844,2.830844,2.830839,2.830839,2.830844,2.830844,2.830839,2.830839,2.830844,2.830513,2.830509,2.830509,2.830513,2.830513,2.830509,2.830509,2.830513,2.830513,2.830509,2.830509,2.830513,2.830328,2.830323,2.830323,2.830328,2.830328,2.830323,2.830323,2.830328,2.830328,2.830323,2.830323,2.830328
70.000000,310.069366,310.583038,310.583038,310.069366,310.069366,310.583038,310.583038,310.069366,310.069366,310.583038,310.583038,310.069366,310.086639,310.600739,310.600739,310.086639,310.086639,310.600739,310.600739,310.086639,310.086639,310.600739,310.600739,310.086639,310.081177,310.594513,310.594513,310.081177,310.081177,310.594513,310.594513,310.081177,310.081177,310.594513,310.594513,310.081177,310.120880,310.635437,310.635437,310.120880,310.120880,310.635437,310.635437,310.120880,310.120880,310.635437,310.635437,310.120880,2.626573,2.626236,2.626236,2.626573,2.626573,2.626236,2.626236,2.626573,2.626573,2.626236,2.626236,2.626573,2.625988,2.625650,2.625650,2.625988,2.625988,2.625650,2.625650,2.625988,2.625988,2.625650,2.625650,2.625988,2.625721,2.625384,2.625384,2.625721,2.625721,2.625384,2.625384,2.625721,2.625721,2.625384,2.625384,2.625721,2.625545,2.625206,2.625206,2.625545,2.625545,2.625206,2.625206,2.625545,2.625545,2.625206,2.625206,2.625545
80.000000,314.333344,315.098328,315.098328,314.333344,314.333344,315.098328,315.098328,314.333344,314.333344,315.098328,315.098328,314.333344,314.359802,315.125671,315.125671,314.359802,314.359802,315.125671,315.125671,314.359802,314.359802,315.125671,315.125671,314.359802,314.348267,315.113159,315.113159,314.348267,314.348267,315.113159,315.113159,314.348267,314.348267,315.113159,315.113159,314.348267,314.401245,315.168243,315.168243,314.401245,314.401245,315.168243,315.168243,314.401245,314.401245,315.168243,315.168243,314.401245,2.512448,2.511665,2.511665,2.512448,2.512448,2.511665,2.511665,2.512448,2.512448,2.511665,2.511665,2.512448,2.511969,2.511184,2.511184,2.511969,2.511969,2.511184,2.511184,2.511969,2.511969,2.511184,2.511184,2.511969,2.511770,2.510987,2.510987,2.511770,2.511770,2.510987,2.510987,2.511770,2.511770,2.510987,2.510987,2.511770,2.511604,2.510817,2.510817,2.511604,2.511604,2.510817,2.510817,2.511604,2.511604,2.510817,2.510817,2.511604
90.000000,323.233704,324.736084,324.736084,323.233704,323.233704,324.736084,324.736084,323.233704,323.233704,324.736084,324.736084,323.233704,323.243042,324.746765,324.746765,323.243042,323.243042,324.746765,324.746765,323.243042,323.243042,324.746765,324.746765,323.243042,323.244476,324.747253,324.747253,323.244476,323.244476,324.747253,324.747253,323.244476,323.244476,324.747253,324.747253,323.244476,323.292358,324.798981,324.798981,323.292358,323.292358,324.798981,324.798981,323.292358,323.292358,324.798981,324.798981,323.292358,2.378558,2.376284,2.376284,2.378558,2.378558,2.376284,2.376284,2.378558,2.378558,2.376284,2.376284,2.378558,2.378378,2.376101,2.376101,2.378378,2.378378,2.376101,2.376101,2.378378,2.378378,2.376101,2.376101,2.378378,2.378300,2.376025,2.376025,2.378300,2.378300,2.376025,2.376025,2.378300,2.378300,2.376025,2.376025,2.378300,2.378226,2.375942,2.375942,2.378226,2.378226,2.375942,2.375942,2.378226,2.378226,2.375942,2.375942,2.378226
