time_s,T_cell_1_K,T_cell_2_K,T_cell_3_K,T_cell_4_K,T_cell_5_K,T_cell_6_K,T_cell_7_K,T_cell_8_K,T_cell_9_K,T_cell_10_K,T_cell_11_K,T_cell_12_K,T_cell_13_K,T_cell_14_K,T_cell_15_K,T_cell_16_K,T_cell_17_K,T_cell_18_K,T_cell_19_K,T_cell_20_K,T_cell_21_K,T_cell_22_K,T_cell_23_K,T_cell_24_K,T_cell_25_K,T_cell_26_K,T_cell_27_K,T_cell_28_K,T_cell_29_K,T_cell_30_K,T_cell_31_K,T_cell_32_K,T_cell_33_K,T_cell_34_K,T_cell_35_K,T_cell_36_K,T_cell_37_K,T_cell_38_K,T_cell_39_K,T_cell_40_K,T_cell_41_K,T_cell_42_K,T_cell_43_K,T_cell_44_K,T_cell_45_K,T_cell_46_K,T_cell_47_K,T_cell_48_K,V_cell_1_V,V_cell_2_V,V_cell_3_V,V_cell_4_V,V_cell_5_V,V_cell_6_V,V_cell_7_V,V_cell_8_V,V_cell_9_V,V_cell_10_V,V_cell_11_V,V_cell_12_V,V_cell_13_V,V_cell_14_V,V_cell_15_V,V_cell_16_V,V_cell_17_V,V_cell_18_V,V_cell_19_V,V_cell_20_V,V_cell_21_V,V_cell_22_V,V_cell_23_V,V_cell_24_V,V_cell_25_V,V_cell_26_V,V_cell_27_V,V_cell_28_V,V_cell_29_V,V_cell_30_V,V_cell_31_V,V_cell_32_V,V_cell_33_V,V_cell_34_V,V_cell_35_V,V_cell_36_V,V_cell_37_V,V_cell_38_V,V_cell_39_V,V_cell_40_V,V_cell_41_V,V_cell_42_V,V_cell_43_V,V_cell_44_V,V_cell_45_V,V_cell_46_V,V_cell_47_V,V_cell_48_V
0.000000,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,3.732862,3.732862,3.732862,3.732862,3.732862,3.732862,3.732862,3.732862,3.732862,3.732862,3.732862,3.732862,3.732891,3.732891,3.732891,3.732891,3.732891,3.732891,3.732891,3.732891,3.732891,3.732891,3.732891,3.732891,3.732910,3.732910,3.732910,3.732910,3.732910,3.732910,3.732910,3.732910,3.732910,3.732910,3.732910,3.732910,3.732919,3.732919,3.732919,3.732919,3.732919,3.732919,3.732919,3.732919,3.732919,3.732919,3.732919,3.732919
10.000000,300.350128,300.376862,300.376862,300.350128,300.350128,300.376862,300.376862,300.350128,300.350128,300.376862,300.376862,300.350128,300.349274,300.375977,300.375977,300.349274,300.349274,300.375977,300.375977,300.349274,300.349274,300.375977,300.375977,300.349274,300.348724,300.375427,300.375427,300.348724,300.348724,300.375427,300.375427,300.348724,300.348724,300.375427,300.375427,300.348724,300.348419,300.375122,300.375122,300.348419,300.348419,300.375122,300.375122,300.348419,300.348419,300.375122,300.375122,300.348419,3.630932,3.631000,3.631000,3.630932,3.630932,3.631000,3.631000,3.630932,3.630932,3.631000,3.631000,3.630932,3.631024,3.631093,3.631093,3.631024,3.631024,3.631093,3.631093,3.631024,3.631024,3.631093,3.631093,3.631024,3.631086,3.631154,3.631154,3.631086,3.631086,3.631154,3.631154,3.631086,3.631086,3.631154,3.631154,3.631086,3.631117,3.631185,3.631185,3.631117,3.631117,3.631185,3.631185,3.631117,3.631117,3.631185,3.631185,3.631117
20.000000,303.140778,303.251007,303.251007,303.140778,303.140778,303.251007,303.251007,303.140778,303.140778,303.251007,303.251007,303.140778,303.136414,303.246613,303.246613,303.136414,303.136414,303.246613,303.246613,303.136414,303.136414,303.246613,303.246613,303.136414,303.133575,303.243713,303.243713,303.133575,303.133575,303.243713,303.243713,303.133575,303.133575,303.243713,303.243713,303.133575,303.132202,303.242340,303.242340,303.132202,303.132202,303.242340,303.242340,303.132202,303.132202,303.242340,303.242340,303.132202,2.938705,2.938766,2.938766,2.938705,2.938705,2.938766,2.938766,2.938705,2.938705,2.938766,2.938766,2.938705,2.938917,2.938978,2.938978,2.938917,2.938917,2.938978,2.938978,2.938917,2.938917,2.938978,2.938978,2.938917,2.939057,2.939119,2.939119,2.939057,2.939057,2.939119,2.939119,2.939057,2.939057,2.939119,2.939119,2.939057,2.939127,2.939188,2.939188,2.939127,2.939127,2.939188,2.939188,2.939127,2.939127,2.939188,2.939188,2.939127
30.000000,322.382050,323.177307,323.177307,322.382050,322.382050,323.177307,323.177307,322.382050,322.382050,323.177307,323.177307,322.382050,322.380280,323.175903,323.175903,322.380280,322.380280,323.175903,323.175903,322.380280,322.380280,323.175903,323.175903,322.380280,322.360931,323.155334,323.155334,322.360931,322.360931,323.155334,323.155334,322.360931,322.360931,323.155334,323.155334,322.360931,322.373505,323.168640,323.168640,322.373505,322.373505,323.168640,323.168640,322.373505,322.373505,323.168640,323.168640,322.373505,1.788840,1.786531,1.786531,1.788840,1.788840,1.786531,1.786531,1.788840,1.788840,1.786531,1.786531,1.788840,1.788911,1.786601,1.786601,1.788911,1.788911,1.786601,1.786601,1.788911,1.788911,1.786601,1.786601,1.788911,1.789000,1.786694,1.786694,1.789000,1.789000,1.786694,1.786694,1.789000,1.789000,1.786694,1.786694,1.789000,1.788994,1.786685,1.786685,1.788994,1.788994,1.786685,1.786685,1.788994,1.788994,1.786685,1.786685,1.788994
40.000000,321.496155,322.868500,322.868500,321.496155,321.496155,322.868500,322.868500,321.496155,321.496155,322.868500,322.868500,321.496155,321.494507,322.867157,322.867157,321.494507,321.494507,322.867157,322.867157,321.494507,321.494507,322.867157,322.867157,321.494507,321.475891,322.846863,322.846863,321.475891,321.475891,322.846863,322.846863,321.475891,321.475891,322.846863,322.846863,321.475891,321.488037,322.860046,322.860046,321.488037,321.488037,322.860046,322.860046,321.488037,321.488037,322.860046,322.860046,321.488037,3.832866,3.832355,3.832355,3.832866,3.832866,3.832355,3.832355,3.832866,3.832866,3.832355,3.832355,3.832866,3.832934,3.832424,3.832424,3.832934,3.832934,3.832424,3.832424,3.832934,3.832934,3.832424,3.832424,3.832934,3.832980,3.832470,3.832470,3.832980,3.832980,3.832470,3.832470,3.832980,3.832980,3.832470,3.832470,3.832980,3.833003,3.832492,3.832492,3.833003,3.833003,3.832492,3.832492,3.833003,3.833003,3.832492,3.832492,3.833003
50.000000,320.642700,322.563538,322.563538,320.642700,320.642700,322.563538,322.563538,320.642700,320.642700,322.563538,322.563538,320.642700,320.641144,322.562225,322.562225,320.641144,320.641144,322.562225,322.562225,320.641144,320.641144,322.562225,322.562225,320.641144,320.623199,322.542175,322.542175,320.623199,320.623199,322.542175,322.542175,320.623199,320.623199,322.542175,322.542175,320.623199,320.634888,322.555206,322.555206,320.634888,320.634888,322.555206,322.555206,320.634888,320.634888,322.555206,322.555206,320.634888,3.914360,3.913973,3.913973,3.914360,3.914360,3.913973,3.913973,3.914360,3.914360,3.913973,3.913973,3.914360,3.914383,3.913997,3.913997,3.914383,3.914383,3.913997,3.913997,3.914383,3.914383,3.913997,3.913997,3.914383,3.914401,3.914015,3.914015,3.914401,3.914401,3.914015,3.914015,3.914401,3.914401,3.914015,3.914015,3.914401,3.914407,3.914021,3.914021,3.914407,3.914407,3.914021,3.914021,3.914407,3.914407,3.914021,3.914021,3.914407
60.000000,319.820465,322.262360,322.262360,319.820465,319.820465,322.262360,322.262360,319.820465,319.820465,322.262360,322.262360,319.820465,319.818939,322.261047,322.261047,319.818939,319.818939,322.261047,322.261047,319.818939,319.818939,322.261047,322.261047,319.818939,319.801666,322.241272,322.241272,319.801666,319.801666,322.241241,322.241272,319.801666,319.801666,322.241272,322.241272,319.801666,319.812927,322.254120,322.254120,319.812927,319.812927,322.254120,322.254120,319.812927,319.812927,322.254120,322.254120,319.812927,3.949554,3.949199,3.949199,3.949554,3.949554,3.949199,3.949199,3.949554,3.949554,3.949199,3.949199,3.949554,3.949572,3.949218,3.949218,3.949572,3.949572,3.949218,3.949218,3.949572,3.949572,3.949218,3.949218,3.949572,3.949585,3.949232,3.949232,3.949585,3.949585,3.949232,3.949232,3.949585,3.949585,3.949232,3.949232,3.949585,3.949591,3.949237,3.949237,3.949591,3.949591,3.949237,3.949237,3.949591,3.949591,3.949237,3.949237,3.949591
70.000000,319.028290,321.964874,321.964874,319.028290,319.028290,321.964874,321.964874,319.028290,319.028290,321.964874,321.964874,319.028290,319.026825,321.963593,321.963593,319.026825,319.026825,321.963593,321.963593,319.026825,319.026825,321.963593,321.963593,319.026825,319.010162,321.944031,321.944031,319.010162,319.010162,321.944031,321.944031,319.010162,319.010162,321.944031,321.944031,319.010162,319.021027,321.956757,321.956757,319.021027,319.021027,321.956757,321.956757,319.021027,319.021027,321.956757,321.956757,319.021027,3.972592,3.972265,3.972265,3.972592,3.972592,3.972265,3.972265,3.972592,3.972592,3.972265,3.972265,3.972592,3.972607,3.972280,3.972280,3.972607,3.972607,3.972280,3.972280,3.972607,3.972607,3.972280,3.972280,3.972607,3.972619,3.972292,3.972292,3.972619,3.972619,3.972292,3.972292,3.972619,3.972619,3.972292,3.972292,3.972619,3.972623,3.972297,3.972297,3.972623,3.972623,3.972297,3.972297,3.972623,3.972623,3.972297,3.972297,3.972623
80.000000,318.265045,321.671082,321.671082,318.265045,318.265045,321.671082,321.671082,318.265045,318.265045,321.671082,321.671082,318.265045,318.263641,321.669800,321.669800,318.263641,318.263641,321.669800,321.669800,318.263641,318.263641,321.669800,321.669800,318.263641,318.247589,321.650513,321.650513,318.247589,318.247589,321.650513,321.650513,318.247589,318.247589,321.650513,321.650513,318.247589,318.258057,321.663055,321.663055,318.258057,318.258057,321.663055,321.663055,318.258057,318.258057,321.663055,321.663055,318.258057,3.989445,3.989147,3.989147,3.989445,3.989445,3.989147,3.989147,3.989445,3.989445,3.989147,3.989147,3.989445,3.989459,3.989161,3.989161,3.989459,3.989459,3.989161,3.989161,3.989459,3.989459,3.989161,3.989161,3.989459,3.989469,3.989171,3.989171,3.989469,3.989469,3.989171,3.989171,3.989469,3.989469,3.989171,3.989171,3.989469,3.989473,3.989176,3.989176,3.989473,3.989473,3.989176,3.989176,3.989473,3.989473,3.989176,3.989176,3.989473
90.000000,317.529724,321.380890,321.380890,317.529724,317.529724,321.380890,321.380890,317.529724,317.529724,321.380890,321.380890,317.529724,317.528351,321.379639,321.379639,317.528351,317.528351,321.379639,321.379639,317.528351,317.528351,321.379639,321.379639,317.528351,317.512909,321.360565,321.360565,317.512909,317.512909,321.360565,321.360565,317.512909,317.512909,321.360565,321.360565,317.512909,317.522980,321.372955,321.372955,317.522980,317.522980,321.372955,321.372955,317.522980,317.522980,321.372955,321.372955,317.522980,4.002596,4.002331,4.002331,4.002596,4.002596,4.002331,4.002331,4.002596,4.002596,4.002331,4.002331,4.002596,4.002608,4.002343,4.002343,4.002608,4.002608,4.002343,4.002343,4.002608,4.002608,4.002343,4.002343,4.002608,4.002617,4.002352,4.002352,4.002617,4.002617,4.002352,4.002352,4.002617,4.002617,4.002352,4.002352,4.002617,4.002621,4.002356,4.002356,4.002621,4.002621,4.002356,4.002356,4.002621,4.002621,4.002356,4.002356,4.002621
100.000000,316.821259,321.094299,321.094299,316.821259,316.821259,321.094299,321.094299,316.821259,316.821259,321.094299,321.094299,316.821259,316.819977,321.093048,321.093048,316.819977,316.819977,321.093048,321.093048,316.819977,316.819977,321.093048,321.093048,316.819977,316.805084,321.074219,321.074219,316.805084,316.805084,321.074219,321.074219,316.805084,316.805084,321.074219,321.074219,316.805084,316.814789,321.086456,321.086456,316.814789,316.814789,321.086456,321.086456,316.814789,316.814789,321.086456,321.086456,316.814789,4.013278,4.013048,4.013048,4.013278,4.013278,4.013048,4.013048,4.013278,4.013278,4.013048,4.013048,4.013278,4.013288,4.013060,4.013060,4.013288,4.013288,4.013060,4.013060,4.013288,4.013288,4.013060,4.013060,4.013288,4.013296,4.013068,4.013068,4.013296,4.013296,4.013068,4.013068,4.013296,4.013296,4.013068,4.013068,4.013296,4.013299,4.013072,4.013072,4.013299,4.013299,4.013072,4.013072,4.013299,4.013299,4.013072,4.013072,4.013299
110.000000,316.138733,320.811249,320.811249,316.138733,316.138733,320.811249,320.811249,316.138733,316.138733,320.811249,320.811249,316.138733,316.137482,320.809998,320.809998,316.137482,316.137482,320.809998,320.809998,316.137482,316.137482,320.809998,320.809998,316.137482,316.123108,320.791412,320.791412,316.123108,316.123108,320.791412,320.791412,316.123108,316.123108,320.791412,320.791412,316.123108,316.132477,320.803497,320.803497,316.132477,316.132477,320.803497,320.803497,316.132477,316.132477,320.803497,320.803497,316.132477,4.022066,4.021874,4.021874,4.022066,4.022066,4.021874,4.021874,4.022066,4.022066,4.021874,4.021874,4.022066,4.022076,4.021885,4.021885,4.022076,4.022076,4.021885,4.021885,4.022076,4.022076,4.021885,4.021885,4.022076,4.022082,4.021892,4.021892,4.022082,4.022082,4.021892,4.021892,4.022082,4.022082,4.021892,4.021892,4.022082,4.022086,4.021895,4.021895,4.022086,4.022086,4.021895,4.021895,4.022086,4.022086,4.021895,4.021895,4.022086
120.000000,315.481140,320.531677,320.531677,315.481140,315.481140,320.531677,320.531677,315.481140,315.481140,320.531677,320.531677,315.481140,315.479919,320.530457,320.530457,315.479919,315.479919,320.530457,320.530457,315.479919,315.479919,320.530457,320.530457,315.479919,315.466095,320.512085,320.512085,315.466095,315.466095,320.512085,320.512085,315.466095,315.466095,320.512085,320.512085,315.466095,315.475128,320.524017,320.524017,315.475128,315.475128,320.524017,320.524017,315.475128,315.475128,320.524017,320.524017,315.475128,4.029276,4.029121,4.029121,4.029276,4.029276,4.029121,4.029121,4.029276,4.029276,4.029121,4.029121,4.029276,4.029285,4.029130,4.029130,4.029285,4.029285,4.029130,4.029130,4.029285,4.029285,4.029130,4.029130,4.029285,4.029292,4.029137,4.029137,4.029292,4.029292,4.029137,4.029137,4.029292,4.029292,4.029137,4.029137,4.029292,4.029295,4.029140,4.029140,4.029295,4.029295,4.029140,4.029140,4.029295,4.029295,4.029140,4.029140,4.029295
