time_s,T_cell_1_K,T_cell_2_K,T_cell_3_K,T_cell_4_K,T_cell_5_K,T_cell_6_K,T_cell_7_K,T_cell_8_K,T_cell_9_K,T_cell_10_K,T_cell_11_K,T_cell_12_K,T_cell_13_K,T_cell_14_K,T_cell_15_K,T_cell_16_K,T_cell_17_K,T_cell_18_K,T_cell_19_K,T_cell_20_K,T_cell_21_K,T_cell_22_K,T_cell_23_K,T_cell_24_K,T_cell_25_K,T_cell_26_K,T_cell_27_K,T_cell_28_K,T_cell_29_K,T_cell_30_K,T_cell_31_K,T_cell_32_K,T_cell_33_K,T_cell_34_K,T_cell_35_K,T_cell_36_K,T_cell_37_K,T_cell_38_K,T_cell_39_K,T_cell_40_K,T_cell_41_K,T_cell_42_K,T_cell_43_K,T_cell_44_K,T_cell_45_K,T_cell_46_K,T_cell_47_K,T_cell_48_K,V_cell_1_V,V_cell_2_V,V_cell_3_V,V_cell_4_V,V_cell_5_V,V_cell_6_V,V_cell_7_V,V_cell_8_V,V_cell_9_V,V_cell_10_V,V_cell_11_V,V_cell_12_V,V_cell_13_V,V_cell_14_V,V_cell_15_V,V_cell_16_V,V_cell_17_V,V_cell_18_V,V_cell_19_V,V_cell_20_V,V_cell_21_V,V_cell_22_V,V_cell_23_V,V_cell_24_V,V_cell_25_V,V_cell_26_V,V_cell_27_V,V_cell_28_V,V_cell_29_V,V_cell_30_V,V_cell_31_V,V_cell_32_V,V_cell_33_V,V_cell_34_V,V_cell_35_V,V_cell_36_V,V_cell_37_V,V_cell_38_V,V_cell_39_V,V_cell_40_V,V_cell_41_V,V_cell_42_V,V_cell_43_V,V_cell_44_V,V_cell_45_V,V_cell_46_V,V_cell_47_V,V_cell_48_V
0.000000,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,3.626763,3.626763,3.626763,3.626763,3.626763,3.626763,3.626763,3.626763,3.626763,3.626763,3.626763,3.626763,3.626799,3.626799,3.626799,3.626799,3.626799,3.626799,3.626799,3.626799,3.626799,3.626799,3.626799,3.626799,3.626810,3.626810,3.626810,3.626810,3.626810,3.626810,3.626810,3.626810,3.626810,3.626810,3.626810,3.626810,3.626832,3.626832,3.626832,3.626832,3.626832,3.626832,3.626832,3.626832,3.626832,3.626832,3.626832,3.626832
10.000000,302.585632,302.598846,302.598846,302.585632,302.585632,302.598846,302.598846,302.585632,302.585632,302.598846,302.598846,302.585632,302.583710,302.596924,302.596924,302.583710,302.583710,302.596924,302.596924,302.583710,302.583710,302.596924,302.596924,302.583710,302.582489,302.595703,302.595703,302.582489,302.582489,302.595703,302.595703,302.582489,302.582489,302.595703,302.595703,302.582489,302.581787,302.595001,302.595001,302.581787,302.581787,302.595001,302.595001,302.581787,302.581787,302.595001,302.595001,302.581787,3.403109,3.403139,3.403139,3.403109,3.403109,3.403139,3.403139,3.403109,3.403109,3.403139,3.403139,3.403109,3.403364,3.403394,3.403394,3.403364,3.403364,3.403394,3.403394,3.403364,3.403364,3.403394,3.403394,3.403364,3.403523,3.403554,3.403554,3.403523,3.403523,3.403554,3.403554,3.403523,3.403523,3.403554,3.403554,3.403523,3.403615,3.403646,3.403646,3.403615,3.403615,3.403646,3.403646,3.403615,3.403615,3.403646,3.403646,3.403615
20.000000,337.904907,338.171387,338.171387,337.904907,337.904938,338.171387,338.171387,337.904938,337.904938,338.171387,338.171387,337.904938,337.882599,338.149109,338.149109,337.882599,337.882599,338.149109,338.149109,337.882599,337.882599,338.149109,338.149109,337.882599,337.897888,338.164520,338.164520,337.897888,337.897888,338.164520,338.164520,337.897888,337.897888,338.164520,338.164520,337.897888,337.911896,338.182983,338.182983,337.911896,337.911896,338.182983,338.182983,337.911896,337.911896,338.182983,338.182983,337.911896,1.270338,1.269268,1.269268,1.270338,1.270338,1.269268,1.269268,1.270338,1.270338,1.269268,1.269268,1.270338,1.270497,1.269427,1.269427,1.270497,1.270497,1.269427,1.269427,1.270497,1.270497,1.269427,1.269427,1.270497,1.270492,1.269421,1.269421,1.270492,1.270492,1.269421,1.269421,1.270492,1.270492,1.269421,1.269421,1.270492,1.270467,1.269379,1.269379,1.270467,1.270467,1.269379,1.269379,1.270467,1.270467,1.269379,1.269379,1.270467
30.000000,337.414307,337.923584,337.923584,337.414307,337.414307,337.923584,337.923584,337.414307,337.414307,337.923584,337.923584,337.414307,337.392395,337.901581,337.901581,337.392395,337.392395,337.901581,337.901581,337.392395,337.392395,337.901581,337.901581,337.392395,337.407623,337.916992,337.916992,337.407623,337.407623,337.916992,337.916992,337.407623,337.407623,337.916992,337.916992,337.407623,337.421509,337.935425,337.935425,337.421509,337.421509,337.935425,337.935425,337.421509,337.421509,337.935425,337.935425,337.421509,2.969829,2.968043,2.968043,2.969829,2.969829,2.968043,2.968043,2.969829,2.969829,2.968043,2.968043,2.969829,2.916468,2.914747,2.914747,2.916468,2.916468,2.914747,2.914747,2.916468,2.916468,2.914747,2.914747,2.916468,2.844345,2.843028,2.843028,2.844345,2.844345,2.843028,2.843028,2.844345,2.844345,2.843028,2.843028,2.844345,2.824600,2.823274,2.823274,2.824600,2.824600,2.823274,2.823274,2.824600,2.824600,2.823274,2.823274,2.824600
40.000000,336.929871,337.677460,337.677460,336.929871,336.929871,337.677460,337.677460,336.929871,336.929871,337.677460,337.677460,336.929871,336.908264,337.655609,337.655609,336.908264,336.908264,337.655609,337.655609,336.908264,336.908264,337.655609,337.655609,336.908264,336.923309,337.670959,337.670959,336.923309,336.923309,337.670959,337.670959,336.923309,336.923309,337.670959,337.670959,336.923309,336.937042,337.689270,337.689270,336.937042,336.937042,337.689270,337.689270,336.937042,336.937042,337.689270,337.689270,336.937042,3.863963,3.863766,3.863766,3.863963,3.863963,3.863766,3.863766,3.863963,3.863963,3.863766,3.863766,3.863963,3.863996,3.863799,3.863799,3.863996,3.863996,3.863799,3.863799,3.863996,3.863996,3.863799,3.863799,3.863996,3.864012,3.863815,3.863815,3.864012,3.864012,3.863815,3.863815,3.864012,3.864012,3.863815,3.863815,3.864012,3.864019,3.863821,3.863821,3.864019,3.864019,3.863821,3.863821,3.864019,3.864019,3.863821,3.863821,3.864019
50.000000,336.451447,337.432892,337.432892,336.451447,336.451447,337.432861,337.432861,336.451447,336.451447,337.432861,337.432861,336.451447,336.430115,337.411163,337.411163,336.430115,336.430115,337.411163,337.411163,336.430115,336.430115,337.411163,337.411163,336.430115,336.444977,337.426422,337.426422,336.444977,336.444977,337.426422,337.426422,336.444977,336.444977,337.426422,337.426422,336.444977,336.458527,337.444611,337.444611,336.458527,336.458527,337.444611,337.444611,336.458527,336.458527,337.444611,337.444611,336.458527,3.914491,3.914320,3.914320,3.914491,3.914491,3.914320,3.914320,3.914491,3.914491,3.914320,3.914320,3.914491,3.914513,3.914343,3.914343,3.914513,3.914513,3.914343,3.914343,3.914513,3.914513,3.914343,3.914343,3.914513,3.914524,3.914354,3.914354,3.914524,3.914524,3.914354,3.914354,3.914524,3.914524,3.914354,3.914354,3.914524,3.914529,3.914358,3.914358,3.914529,3.914529,3.914358,3.914358,3.914529,3.914529,3.914358,3.914358,3.914529
60.000000,335.978912,337.189819,337.189819,335.978912,335.978912,337.189819,337.189819,335.978912,335.978912,337.189819,337.189819,335.978912,335.957855,337.168243,337.168243,335.957855,335.957855,337.168243,337.168243,335.957855,335.957855,337.168243,337.168243,335.957855,335.972534,337.183380,337.183380,335.972534,335.972534,337.183380,337.183380,335.972534,335.972534,337.183380,337.183380,335.972534,335.985901,337.201477,337.201477,335.985901,335.985901,337.201477,337.201477,335.985901,335.985901,337.201477,337.201477,335.985901,3.943840,3.943683,3.943683,3.943840,3.943840,3.943683,3.943683,3.943840,3.943840,3.943683,3.943683,3.943840,3.943859,3.943702,3.943702,3.943859,3.943859,3.943702,3.943702,3.943859,3.943859,3.943702,3.943702,3.943859,3.943868,3.943712,3.943712,3.943868,3.943868,3.943712,3.943712,3.943868,3.943868,3.943712,3.943712,3.943868,3.943873,3.943715,3.943715,3.943873,3.943873,3.943715,3.943715,3.943873,3.943873,3.943715,3.943715,3.943873
70.000000,335.512207,336.948242,336.948242,335.512207,335.512207,336.948242,336.948242,335.512207,335.512207,336.948242,336.948242,335.512207,335.491394,336.926788,336.926788,335.491394,335.491394,336.926788,336.926788,335.491394,335.491394,336.926788,336.926788,335.491394,335.505920,336.941864,336.941864,335.505920,335.505920,336.941864,336.941864,335.505920,335.505920,336.941864,336.941864,335.505920,335.519135,336.959839,336.959839,335.519135,335.519135,336.959839,336.959839,335.519135,335.519135,336.959839,336.959839,335.519135,3.964536,3.964391,3.964391,3.964536,3.964536,3.964391,3.964391,3.964536,3.964536,3.964391,3.964391,3.964536,3.964552,3.964407,3.964407,3.964552,3.964552,3.964407,3.964407,3.964552,3.964552,3.964407,3.964407,3.964552,3.964561,3.964416,3.964416,3.964561,3.964561,3.964416,3.964416,3.964561,3.964561,3.964416,3.964416,3.964561,3.964565,3.964420,3.964420,3.964565,3.964565,3.964420,3.964420,3.964565,3.964565,3.964420,3.964420,3.964565
80.000000,335.051270,336.708160,336.708160,335.051270,335.051270,336.708160,336.708160,335.051270,335.051270,336.708160,336.708160,335.051270,335.030731,336.686859,336.686859,335.030731,335.030731,336.686859,336.686859,335.030731,335.030731,336.686859,336.686859,335.030731,335.045044,336.701843,336.701843,335.045044,335.045044,336.701843,336.701843,335.045044,335.045044,336.701843,336.701843,335.045044,335.058105,336.719696,336.719696,335.058105,335.058105,336.719696,336.719696,335.058105,335.058105,336.719696,336.719696,335.058105,3.980379,3.980247,3.980247,3.980379,3.980379,3.980247,3.980247,3.980379,3.980379,3.980247,3.980247,3.980379,3.980393,3.980262,3.980262,3.980393,3.980393,3.980262,3.980262,3.980393,3.980393,3.980262,3.980262,3.980393,3.980402,3.980270,3.980270,3.980402,3.980402,3.980270,3.980270,3.980402,3.980402,3.980270,3.980270,3.980402,3.980405,3.980273,3.980273,3.980405,3.980405,3.980273,3.980273,3.980405,3.980405,3.980273,3.980273,3.980405
90.000000,334.596039,336.469574,336.469574,334.596039,334.596039,336.469574,336.469574,334.596039,334.596039,336.469574,336.469574,334.596039,334.575745,336.448395,336.448395,334.575745,334.575745,336.448395,336.448395,334.575745,334.575745,336.448395,336.448395,334.575745,334.589874,336.463287,336.463287,334.589874,334.589874,336.463287,336.463287,334.589874,334.589874,336.463287,336.463287,334.589874,334.602783,336.481049,336.481049,334.602783,334.602783,336.481049,336.481049,334.602783,334.602783,336.481049,336.481049,334.602783,3.993146,3.993030,3.993030,3.993146,3.993146,3.993030,3.993030,3.993146,3.993146,3.993030,3.993030,3.993146,3.993159,3.993043,3.993043,3.993159,3.993159,3.993043,3.993043,3.993159,3.993159,3.993043,3.993043,3.993159,3.993167,3.993050,3.993050,3.993167,3.993167,3.993050,3.993050,3.993167,3.993167,3.993050,3.993050,3.993167,3.993170,3.993053,3.993053,3.993170,3.993170,3.993053,3.993053,3.993170,3.993170,3.993053,3.993053,3.993170
