time_s,T_cell_1_K,T_cell_2_K,T_cell_3_K,T_cell_4_K,T_cell_5_K,T_cell_6_K,T_cell_7_K,T_cell_8_K,T_cell_9_K,T_cell_10_K,T_cell_11_K,T_cell_12_K,T_cell_13_K,T_cell_14_K,T_cell_15_K,T_cell_16_K,T_cell_17_K,T_cell_18_K,T_cell_19_K,T_cell_20_K,T_cell_21_K,T_cell_22_K,T_cell_23_K,T_cell_24_K,T_cell_25_K,T_cell_26_K,T_cell_27_K,T_cell_28_K,T_cell_29_K,T_cell_30_K,T_cell_31_K,T_cell_32_K,T_cell_33_K,T_cell_34_K,T_cell_35_K,T_cell_36_K,T_cell_37_K,T_cell_38_K,T_cell_39_K,T_cell_40_K,T_cell_41_K,T_cell_42_K,T_cell_43_K,T_cell_44_K,T_cell_45_K,T_cell_46_K,T_cell_47_K,T_cell_48_K,V_cell_1_V,V_cell_2_V,V_cell_3_V,V_cell_4_V,V_cell_5_V,V_cell_6_V,V_cell_7_V,V_cell_8_V,V_cell_9_V,V_cell_10_V,V_cell_11_V,V_cell_12_V,V_cell_13_V,V_cell_14_V,V_cell_15_V,V_cell_16_V,V_cell_17_V,V_cell_18_V,V_cell_19_V,V_cell_20_V,V_cell_21_V,V_cell_22_V,V_cell_23_V,V_cell_24_V,V_cell_25_V,V_cell_26_V,V_cell_27_V,V_cell_28_V,V_cell_29_V,V_cell_30_V,V_cell_31_V,V_cell_32_V,V_cell_33_V,V_cell_34_V,V_cell_35_V,V_cell_36_V,V_cell_37_V,V_cell_38_V,V_cell_39_V,V_cell_40_V,V_cell_41_V,V_cell_42_V,V_cell_43_V,V_cell_44_V,V_cell_45_V,V_cell_46_V,V_cell_47_V,V_cell_48_V
0.000000,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,3.626757,3.626757,3.626757,3.626757,3.626757,3.626757,3.626757,3.626757,3.626757,3.626757,3.626757,3.626757,3.626795,3.626795,3.626795,3.626795,3.626795,3.626795,3.626795,3.626795,3.626795,3.626795,3.626795,3.626795,3.626820,3.626820,3.626820,3.626820,3.626820,3.626820,3.626820,3.626820,3.626820,3.626820,3.626820,3.626820,3.626832,3.626832,3.626832,3.626832,3.626832,3.626832,3.626832,3.626832,3.626832,3.626832,3.626832,3.626832
10.000000,302.585663,302.598877,302.598877,302.585663,302.585663,302.598877,302.598877,302.585663,302.585663,302.598877,302.598877,302.585663,302.583710,302.596924,302.596924,302.583710,302.583710,302.596924,302.596924,302.583710,302.583710,302.596924,302.596924,302.583710,302.582428,302.595642,302.595642,302.582428,302.582428,302.595642,302.595642,302.582428,302.582428,302.595642,302.595642,302.582428,302.581787,302.595001,302.595001,302.581787,302.581787,302.595001,302.595001,302.581787,302.581787,302.595001,302.595001,302.581787,3.403105,3.403135,3.403135,3.403105,3.403105,3.403135,3.403135,3.403105,3.403105,3.403135,3.403135,3.403105,3.403360,3.403391,3.403391,3.403360,3.403360,3.403391,3.403391,3.403360,3.403360,3.403391,3.403391,3.403360,3.403530,3.403561,3.403561,3.403530,3.403530,3.403561,3.403561,3.403530,3.403530,3.403561,3.403561,3.403530,3.403615,3.403646,3.403646,3.403615,3.403615,3.403646,3.403646,3.403615,3.403615,3.403646,3.403646,3.403615
20.000000,337.904602,338.170990,338.170990,337.904633,337.904633,338.170990,338.170990,337.904602,337.904633,338.170990,338.170990,337.904633,337.881409,338.147888,338.147888,337.881409,337.881409,338.147888,338.147888,337.881409,337.881409,338.147888,338.147888,337.881409,337.902191,338.168640,338.168640,337.902191,337.902191,338.168640,338.168640,337.902191,337.902191,338.168640,338.168640,337.902191,337.909393,338.176086,338.176086,337.909393,337.909393,338.176086,338.176086,337.909393,337.909393,338.176086,338.176086,337.909393,1.270339,1.269269,1.269269,1.270339,1.270339,1.269269,1.269269,1.270339,1.270339,1.269269,1.269269,1.270339,1.270502,1.269432,1.269432,1.270502,1.270502,1.269432,1.269432,1.270502,1.270502,1.269432,1.269432,1.270502,1.270474,1.269405,1.269405,1.270474,1.270474,1.269405,1.269405,1.270474,1.270474,1.269405,1.269405,1.270474,1.270477,1.269406,1.269406,1.270477,1.270477,1.269406,1.269406,1.270477,1.270477,1.269406,1.269406,1.270477
30.000000,337.414001,337.923187,337.923187,337.414001,337.414001,337.923187,337.923187,337.414001,337.414001,337.923187,337.923187,337.414001,337.391205,337.900360,337.900360,337.391205,337.391205,337.900360,337.900360,337.391205,337.391205,337.900360,337.900360,337.391205,337.411835,337.921112,337.921112,337.411835,337.411835,337.921112,337.921112,337.411835,337.411835,337.921112,337.921112,337.411835,337.419006,337.928558,337.928558,337.419006,337.419006,337.928558,337.928558,337.419006,337.419006,337.928558,337.928558,337.419006,2.969781,2.967995,2.967995,2.969781,2.969781,2.967995,2.967995,2.969781,2.969781,2.967995,2.967995,2.969781,2.916312,2.914592,2.914592,2.916312,2.916312,2.914592,2.914592,2.916312,2.916312,2.914592,2.914592,2.916312,2.844234,2.842916,2.842916,2.844234,2.844234,2.842916,2.842916,2.844234,2.844234,2.842916,2.842916,2.844234,2.824795,2.823482,2.823482,2.824795,2.824795,2.823482,2.823482,2.824795,2.824795,2.823482,2.823482,2.824795
40.000000,336.929565,337.677063,337.677063,336.929565,336.929565,337.677063,337.677063,336.929565,336.929565,337.677063,337.677063,336.929565,336.907074,337.654388,337.654388,336.907074,336.907074,337.654388,337.654388,336.907074,336.907074,337.654388,337.654388,336.907074,336.927490,337.675049,337.675049,336.927490,336.927490,337.675049,337.675049,336.927490,336.927490,337.675049,337.675049,336.927490,336.934570,337.682434,337.682434,336.934570,336.934570,337.682434,337.682434,336.934570,336.934570,337.682434,337.682434,336.934570,3.863963,3.863766,3.863766,3.863963,3.863963,3.863766,3.863766,3.863963,3.863963,3.863766,3.863766,3.863963,3.863996,3.863799,3.863799,3.863996,3.863996,3.863799,3.863799,3.863996,3.863996,3.863799,3.863799,3.863996,3.864011,3.863814,3.863814,3.864011,3.864011,3.863814,3.863814,3.864011,3.864011,3.863814,3.863814,3.864011,3.864020,3.863822,3.863822,3.864020,3.864020,3.863822,3.863822,3.864020,3.864020,3.863822,3.863822,3.864020
50.000000,336.451141,337.432465,337.432495,336.451141,336.451141,337.432495,337.432495,336.451141,336.451141,337.432495,337.432495,336.451141,336.428925,337.409943,337.409943,336.428925,336.428925,337.409943,337.409943,336.428925,336.428925,337.409943,337.409943,336.428925,336.449097,337.430481,337.430481,336.449097,336.449097,337.430481,337.430481,336.449097,336.449097,337.430481,337.430481,336.449097,336.456085,337.437836,337.437836,336.456085,336.456085,337.437836,337.437836,336.456085,336.456085,337.437836,337.437836,336.456085,3.914490,3.914320,3.914320,3.914490,3.914490,3.914320,3.914320,3.914490,3.914490,3.914320,3.914320,3.914490,3.914513,3.914343,3.914343,3.914513,3.914513,3.914343,3.914343,3.914513,3.914513,3.914343,3.914343,3.914513,3.914523,3.914353,3.914353,3.914523,3.914523,3.914353,3.914353,3.914523,3.914523,3.914353,3.914353,3.914523,3.914529,3.914359,3.914359,3.914529,3.914529,3.914359,3.914359,3.914529,3.914529,3.914359,3.914359,3.914529
60.000000,335.978638,337.189423,337.189423,335.978638,335.978638,337.189423,337.189423,335.978638,335.978638,337.189423,337.189423,335.978638,335.956696,337.167023,337.167023,335.956696,335.956696,337.167023,337.167023,335.956696,335.956696,337.167023,337.167023,335.956696,335.976593,337.187408,337.187408,335.976593,335.976593,337.187408,337.187408,335.976593,335.976593,337.187408,337.187408,335.976593,335.983521,337.194733,337.194733,335.983521,335.983521,337.194733,337.194733,335.983521,335.983521,337.194733,337.194733,335.983521,3.943840,3.943683,3.943683,3.943840,3.943840,3.943683,3.943683,3.943840,3.943840,3.943683,3.943683,3.943840,3.943859,3.943702,3.943702,3.943859,3.943859,3.943702,3.943702,3.943859,3.943859,3.943702,3.943702,3.943859,3.943868,3.943711,3.943711,3.943868,3.943868,3.943711,3.943711,3.943868,3.943868,3.943711,3.943711,3.943868,3.943873,3.943716,3.943716,3.943873,3.943873,3.943716,3.943716,3.943873,3.943873,3.943716,3.943716,3.943873
70.000000,335.511932,336.947845,336.947845,335.511932,335.511932,336.947845,336.947845,335.511932,335.511932,336.947845,336.947845,335.511932,335.490265,336.925598,336.925598,335.490265,335.490265,336.925598,336.925598,335.490265,335.490265,336.925598,336.925598,335.490265,335.509918,336.945862,336.945862,335.509918,335.509918,336.945862,336.945862,335.509918,335.509918,336.945862,336.945862,335.509918,335.516785,336.953156,336.953156,335.516785,335.516785,336.953156,336.953156,335.516785,335.516785,336.953156,336.953156,335.516785,3.964536,3.964391,3.964391,3.964536,3.964536,3.964391,3.964391,3.964536,3.964536,3.964391,3.964391,3.964536,3.964552,3.964408,3.964408,3.964552,3.964552,3.964408,3.964408,3.964552,3.964552,3.964408,3.964408,3.964552,3.964561,3.964416,3.964416,3.964561,3.964561,3.964416,3.964416,3.964561,3.964561,3.964416,3.964416,3.964561,3.964565,3.964421,3.964421,3.964565,3.964565,3.964421,3.964421,3.964565,3.964565,3.964421,3.964421,3.964565
80.000000,335.050995,336.707794,336.707794,335.050995,335.050995,336.707794,336.707794,335.050995,335.050995,336.707794,336.707794,335.050995,335.029602,336.685669,336.685669,335.029602,335.029602,336.685669,336.685669,335.029602,335.029602,336.685669,336.685669,335.029602,335.049011,336.705811,336.705811,335.049011,335.049011,336.705811,336.705811,335.049011,335.049011,336.705811,336.705811,335.049011,335.055786,336.713043,336.713043,335.055786,335.055786,336.713043,336.713043,335.055786,335.055786,336.713043,336.713043,335.055786,3.980379,3.980247,3.980247,3.980379,3.980379,3.980247,3.980247,3.980379,3.980379,3.980247,3.980247,3.980379,3.980393,3.980262,3.980262,3.980393,3.980393,3.980262,3.980262,3.980393,3.980393,3.980262,3.980262,3.980393,3.980401,3.980270,3.980270,3.980401,3.980401,3.980270,3.980270,3.980401,3.980401,3.980270,3.980270,3.980401,3.980406,3.980274,3.980274,3.980406,3.980406,3.980274,3.980274,3.980406,3.980406,3.980274,3.980274,3.980406
90.000000,334.595764,336.469208,336.469208,334.595764,334.595764,336.469208,336.469208,334.595764,334.595764,336.469208,336.469208,334.595764,334.574615,336.447235,336.447235,334.574615,334.574615,336.447235,336.447235,334.574615,334.574615,336.447235,336.447235,334.574615,334.593811,336.467255,336.467255,334.593811,334.593811,336.467255,336.467255,334.593811,334.593811,336.467255,336.467255,334.593811,334.600464,336.474426,336.474426,334.600464,334.600464,336.474426,336.474426,334.600464,334.600464,336.474426,336.474426,334.600464,3.993146,3.993030,3.993030,3.993146,3.993146,3.993030,3.993030,3.993146,3.993146,3.993030,3.993030,3.993146,3.993160,3.993043,3.993043,3.993160,3.993160,3.993043,3.993043,3.993160,3.993160,3.993043,3.993043,3.993160,3.993167,3.993050,3.993050,3.993167,3.993167,3.993050,3.993050,3.993167,3.993167,3.993050,3.993050,3.993167,3.993171,3.993054,3.993054,3.993171,3.993171,3.993054,3.993054,3.993171,3.993171,3.993054,3.993054,3.993171
