time_s,T_cell_1_K,T_cell_2_K,T_cell_3_K,T_cell_4_K,T_cell_5_K,T_cell_6_K,T_cell_7_K,T_cell_8_K,T_cell_9_K,T_cell_10_K,T_cell_11_K,T_cell_12_K,T_cell_13_K,T_cell_14_K,T_cell_15_K,T_cell_16_K,T_cell_17_K,T_cell_18_K,T_cell_19_K,T_cell_20_K,T_cell_21_K,T_cell_22_K,T_cell_23_K,T_cell_24_K,T_cell_25_K,T_cell_26_K,T_cell_27_K,T_cell_28_K,T_cell_29_K,T_cell_30_K,T_cell_31_K,T_cell_32_K,T_cell_33_K,T_cell_34_K,T_cell_35_K,T_cell_36_K,T_cell_37_K,T_cell_38_K,T_cell_39_K,T_cell_40_K,T_cell_41_K,T_cell_42_K,T_cell_43_K,T_cell_44_K,T_cell_45_K,T_cell_46_K,T_cell_47_K,T_cell_48_K,V_cell_1_V,V_cell_2_V,V_cell_3_V,V_cell_4_V,V_cell_5_V,V_cell_6_V,V_cell_7_V,V_cell_8_V,V_cell_9_V,V_cell_10_V,V_cell_11_V,V_cell_12_V,V_cell_13_V,V_cell_14_V,V_cell_15_V,V_cell_16_V,V_cell_17_V,V_cell_18_V,V_cell_19_V,V_cell_20_V,V_cell_21_V,V_cell_22_V,V_cell_23_V,V_cell_24_V,V_cell_25_V,V_cell_26_V,V_cell_27_V,V_cell_28_V,V_cell_29_V,V_cell_30_V,V_cell_31_V,V_cell_32_V,V_cell_33_V,V_cell_34_V,V_cell_35_V,V_cell_36_V,V_cell_37_V,V_cell_38_V,V_cell_39_V,V_cell_40_V,V_cell_41_V,V_cell_42_V,V_cell_43_V,V_cell_44_V,V_cell_45_V,V_cell_46_V,V_cell_47_V,V_cell_48_V
0.000000,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,3.732858,3.732858,3.732858,3.732858,3.732858,3.732858,3.732858,3.732858,3.732858,3.732858,3.732858,3.732858,3.732882,3.732882,3.732882,3.732882,3.732882,3.732882,3.732882,3.732882,3.732882,3.732882,3.732882,3.732882,3.732912,3.732912,3.732912,3.732912,3.732912,3.732912,3.732912,3.732912,3.732912,3.732912,3.732912,3.732912,3.732930,3.732930,3.732930,3.732930,3.732930,3.732930,3.732930,3.732930,3.732930,3.732930,3.732930,3.732930
10.000000,300.336945,300.363434,300.363434,300.336945,300.336945,300.363434,300.363434,300.336945,300.336945,300.363434,300.363434,300.336945,300.336121,300.362610,300.362610,300.336121,300.336121,300.362610,300.362610,300.336121,300.336121,300.362610,300.362610,300.336121,300.335510,300.362000,300.362000,300.335510,300.335510,300.362000,300.362000,300.335510,300.335510,300.362000,300.362000,300.335510,300.335205,300.361694,300.361694,300.335205,300.335205,300.361694,300.361694,300.335205,300.335205,300.361694,300.361694,300.335205,3.630896,3.630964,3.630964,3.630896,3.630896,3.630964,3.630964,3.630896,3.630896,3.630964,3.630964,3.630896,3.630987,3.631055,3.631055,3.630987,3.630987,3.631055,3.631055,3.630987,3.630987,3.631055,3.631055,3.630987,3.631052,3.631121,3.631121,3.631052,3.631052,3.631121,3.631121,3.631052,3.631052,3.631121,3.631121,3.631052,3.631087,3.631155,3.631155,3.631087,3.631087,3.631155,3.631155,3.631087,3.631087,3.631155,3.631155,3.631087
20.000000,303.087189,303.195709,303.195709,303.087189,303.087189,303.195709,303.195709,303.087189,303.087189,303.195709,303.195709,303.087189,303.083038,303.191498,303.191498,303.083038,303.083038,303.191498,303.191498,303.083038,303.083038,303.191498,303.191498,303.083038,303.079712,303.188110,303.188110,303.079712,303.079712,303.188110,303.188110,303.079712,303.079712,303.188110,303.188110,303.079712,303.078003,303.186401,303.186401,303.078003,303.078003,303.186401,303.186401,303.078003,303.078003,303.186401,303.186401,303.078003,2.938673,2.938734,2.938734,2.938673,2.938673,2.938734,2.938734,2.938673,2.938673,2.938734,2.938734,2.938673,2.938884,2.938945,2.938945,2.938884,2.938884,2.938945,2.938945,2.938884,2.938884,2.938945,2.938945,2.938884,2.939028,2.939088,2.939088,2.939028,2.939028,2.939088,2.939088,2.939028,2.939028,2.939088,2.939088,2.939028,2.939100,2.939161,2.939161,2.939100,2.939100,2.939161,2.939161,2.939100,2.939100,2.939161,2.939161,2.939100
30.000000,321.999207,322.774811,322.774811,321.999207,321.999207,322.774811,322.774811,321.999207,321.999207,322.774811,322.774811,321.999207,322.001831,322.769043,322.769043,322.001831,322.001831,322.769043,322.768982,322.001831,322.001831,322.769012,322.769012,322.001831,321.983704,322.760651,322.760651,321.983704,321.983704,322.760651,322.760651,321.983704,321.983704,322.760651,322.760651,321.983704,321.997406,322.772552,322.772552,321.997406,321.997406,322.772552,322.772552,321.997406,321.997406,322.772552,322.772552,321.997406,1.789950,1.787701,1.787701,1.789950,1.789950,1.787701,1.787701,1.789950,1.789950,1.787701,1.787701,1.789950,1.790008,1.787784,1.787784,1.790008,1.790008,1.787784,1.787784,1.790008,1.790008,1.787784,1.787784,1.790008,1.790095,1.787842,1.787842,1.790095,1.790095,1.787842,1.787842,1.790095,1.790095,1.787842,1.787842,1.790095,1.790080,1.787833,1.787833,1.790080,1.790080,1.787833,1.787833,1.790080,1.790080,1.787833,1.787833,1.790080
40.000000,320.843842,322.170898,322.170898,320.843842,320.843842,322.170898,322.170898,320.843842,320.843842,322.170898,322.170898,320.843842,320.846375,322.165314,322.165344,320.846375,320.846375,322.165344,322.165283,320.846375,320.846375,322.165314,322.165314,320.846375,320.829163,322.157196,322.157196,320.829163,320.829163,322.157196,322.157196,320.829163,320.829163,322.157196,322.157196,320.829163,320.842224,322.168793,322.168793,320.842224,320.842224,322.168793,322.168793,320.842224,320.842224,322.168793,322.168793,320.842224,3.833110,3.832615,3.832615,3.833110,3.833110,3.832615,3.832615,3.833110,3.833110,3.832615,3.832615,3.833110,3.833176,3.832685,3.832685,3.833176,3.833176,3.832685,3.832685,3.833176,3.833176,3.832685,3.832685,3.833176,3.833222,3.832728,3.832728,3.833222,3.833222,3.832728,3.832728,3.833222,3.833222,3.832728,3.832728,3.833222,3.833241,3.832748,3.832748,3.833241,3.833241,3.832748,3.832748,3.833241,3.833241,3.832748,3.832748,3.833241
50.000000,319.744507,321.581848,321.581848,319.744507,319.744507,321.581848,321.581848,319.744507,319.744507,321.581848,321.581848,319.744507,319.746918,321.576416,321.576447,319.746918,319.746918,321.576416,321.576385,319.746918,319.746918,321.576416,321.576416,319.746918,319.730530,321.568481,321.568481,319.730530,319.730530,321.568481,321.568481,319.730530,319.730530,321.568481,321.568481,319.730530,319.742981,321.579834,321.579834,319.742981,319.742981,321.579834,321.579834,319.742981,319.742981,321.579834,321.579834,319.742981,3.914541,3.914171,3.914171,3.914541,3.914541,3.914171,3.914171,3.914541,3.914541,3.914171,3.914171,3.914541,3.914563,3.914195,3.914195,3.914563,3.914563,3.914195,3.914195,3.914563,3.914563,3.914195,3.914195,3.914563,3.914580,3.914211,3.914211,3.914580,3.914580,3.914211,3.914211,3.914580,3.914580,3.914211,3.914211,3.914580,3.914586,3.914217,3.914217,3.914586,3.914586,3.914217,3.914217,3.914586,3.914586,3.914217,3.914217,3.914586
60.000000,318.698395,321.007263,321.007263,318.698395,318.698395,321.007263,321.007263,318.698395,318.698395,321.007263,321.007263,318.698395,318.700714,321.001953,321.001984,318.700714,318.700714,321.001984,321.001923,318.700714,318.700714,321.001953,321.001953,318.700714,318.685150,320.994232,320.994232,318.685150,318.685150,320.994232,320.994232,318.685150,318.685150,320.994232,320.994232,318.685150,318.696960,321.005280,321.005280,318.696960,318.696960,321.005280,321.005280,318.696960,318.696960,321.005280,321.005280,318.696960,3.949717,3.949382,3.949382,3.949717,3.949717,3.949382,3.949382,3.949717,3.949717,3.949382,3.949382,3.949717,3.949734,3.949400,3.949400,3.949734,3.949734,3.949400,3.949400,3.949734,3.949734,3.949400,3.949400,3.949734,3.949748,3.949413,3.949413,3.949748,3.949748,3.949413,3.949413,3.949748,3.949748,3.949413,3.949413,3.949748,3.949752,3.949418,3.949418,3.949752,3.949752,3.949418,3.949418,3.949752,3.949752,3.949418,3.949418,3.949752
70.000000,317.703003,320.446777,320.446777,317.703003,317.703003,320.446777,320.446777,317.703003,317.703003,320.446777,320.446777,317.703003,317.705200,320.441589,320.441620,317.705200,317.705200,320.441620,320.441559,317.705200,317.705200,320.441589,320.441589,317.705200,317.690369,320.434052,320.434052,317.690369,317.690369,320.434052,320.434052,317.690369,317.690369,320.434052,320.434052,317.690369,317.701630,320.444824,320.444824,317.701630,317.701630,320.444824,320.444824,317.701630,317.701630,320.444824,320.444824,317.701630,3.972739,3.972434,3.972434,3.972739,3.972739,3.972434,3.972434,3.972739,3.972739,3.972434,3.972434,3.972739,3.972754,3.972450,3.972450,3.972754,3.972754,3.972450,3.972450,3.972754,3.972754,3.972450,3.972450,3.972754,3.972766,3.972460,3.972460,3.972766,3.972766,3.972460,3.972460,3.972766,3.972766,3.972460,3.972460,3.972766,3.972770,3.972465,3.972465,3.972770,3.972770,3.972465,3.972465,3.972770,3.972770,3.972465,3.972465,3.972770
80.000000,316.755829,319.900024,319.900024,316.755829,316.755829,319.900024,319.900024,316.755829,316.755829,319.900024,319.900024,316.755829,316.757904,319.894958,319.894989,316.757904,316.757904,319.894989,319.894928,316.757904,316.757904,319.894958,319.894958,316.757904,316.743805,319.887604,319.887604,316.743805,316.743805,319.887604,319.887604,316.743805,316.743805,319.887604,319.887604,316.743805,316.754517,319.898132,319.898132,316.754517,316.754517,319.898132,319.898132,316.754517,316.754517,319.898132,319.898132,316.754517,3.989577,3.989302,3.989302,3.989577,3.989577,3.989302,3.989302,3.989577,3.989577,3.989302,3.989302,3.989577,3.989591,3.989316,3.989316,3.989591,3.989591,3.989316,3.989316,3.989591,3.989591,3.989316,3.989316,3.989591,3.989600,3.989326,3.989326,3.989600,3.989600,3.989326,3.989326,3.989600,3.989600,3.989326,3.989326,3.989600,3.989604,3.989330,3.989330,3.989604,3.989604,3.989330,3.989330,3.989604,3.989604,3.989330,3.989330,3.989604
90.000000,315.854523,319.366669,319.366669,315.854523,315.854523,319.366669,319.366669,315.854523,315.854523,319.366669,319.366669,315.854523,315.856506,319.361755,319.361755,315.856506,315.856506,319.361755,319.361725,315.856506,315.856506,319.361725,319.361725,315.856506,315.843079,319.354553,319.354553,315.843079,315.843079,319.354553,319.354553,315.843079,315.843079,319.354553,319.354553,315.843079,315.853271,319.364838,319.364838,315.853271,315.853271,319.364838,319.364838,315.853271,315.853271,319.364838,319.364838,315.853271,4.002711,4.002470,4.002470,4.002711,4.002711,4.002470,4.002470,4.002711,4.002711,4.002470,4.002470,4.002711,4.002723,4.002482,4.002482,4.002723,4.002723,4.002482,4.002482,4.002723,4.002723,4.002482,4.002482,4.002723,4.002732,4.002491,4.002491,4.002732,4.002732,4.002491,4.002491,4.002732,4.002732,4.002491,4.002491,4.002732,4.002736,4.002494,4.002494,4.002736,4.002736,4.002494,4.002494,4.002736,4.002736,4.002494,4.002494,4.002736
