time_s,T_cell_1_K,T_cell_2_K,T_cell_3_K,T_cell_4_K,T_cell_5_K,T_cell_6_K,T_cell_7_K,T_cell_8_K,T_cell_9_K,T_cell_10_K,T_cell_11_K,T_cell_12_K,T_cell_13_K,T_cell_14_K,T_cell_15_K,T_cell_16_K,T_cell_17_K,T_cell_18_K,T_cell_19_K,T_cell_20_K,T_cell_21_K,T_cell_22_K,T_cell_23_K,T_cell_24_K,T_cell_25_K,T_cell_26_K,T_cell_27_K,T_cell_28_K,T_cell_29_K,T_cell_30_K,T_cell_31_K,T_cell_32_K,T_cell_33_K,T_cell_34_K,T_cell_35_K,T_cell_36_K,T_cell_37_K,T_cell_38_K,T_cell_39_K,T_cell_40_K,T_cell_41_K,T_cell_42_K,T_cell_43_K,T_cell_44_K,T_cell_45_K,T_cell_46_K,T_cell_47_K,T_cell_48_K,V_cell_1_V,V_cell_2_V,V_cell_3_V,V_cell_4_V,V_cell_5_V,V_cell_6_V,V_cell_7_V,V_cell_8_V,V_cell_9_V,V_cell_10_V,V_cell_11_V,V_cell_12_V,V_cell_13_V,V_cell_14_V,V_cell_15_V,V_cell_16_V,V_cell_17_V,V_cell_18_V,V_cell_19_V,V_cell_20_V,V_cell_21_V,V_cell_22_V,V_cell_23_V,V_cell_24_V,V_cell_25_V,V_cell_26_V,V_cell_27_V,V_cell_28_V,V_cell_29_V,V_cell_30_V,V_cell_31_V,V_cell_32_V,V_cell_33_V,V_cell_34_V,V_cell_35_V,V_cell_36_V,V_cell_37_V,V_cell_38_V,V_cell_39_V,V_cell_40_V,V_cell_41_V,V_cell_42_V,V_cell_43_V,V_cell_44_V,V_cell_45_V,V_cell_46_V,V_cell_47_V,V_cell_48_V
0.000000,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,298.149994,3.732862,3.732862,3.732862,3.732862,3.732862,3.732862,3.732862,3.732862,3.732862,3.732862,3.732862,3.732862,3.732891,3.732891,3.732891,3.732891,3.732891,3.732891,3.732891,3.732891,3.732891,3.732891,3.732891,3.732891,3.732910,3.732910,3.732910,3.732910,3.732910,3.732910,3.732910,3.732910,3.732910,3.732910,3.732910,3.732910,3.732919,3.732919,3.732919,3.732919,3.732919,3.732919,3.732919,3.732919,3.732919,3.732919,3.732919,3.732919
10.000000,300.336914,300.363434,300.363434,300.336914,300.336914,300.363434,300.363434,300.336914,300.336914,300.363434,300.363434,300.336914,300.336090,300.362579,300.362579,300.336090,300.336090,300.362579,300.362579,300.336090,300.336090,300.362579,300.362579,300.336090,300.335510,300.362000,300.362000,300.335510,300.335510,300.362000,300.362000,300.335510,300.335510,300.362000,300.362000,300.335510,300.335236,300.361725,300.361725,300.335236,300.335236,300.361725,300.361725,300.335236,300.335236,300.361725,300.361725,300.335236,3.630898,3.630966,3.630966,3.630898,3.630898,3.630966,3.630966,3.630898,3.630898,3.630966,3.630966,3.630898,3.630990,3.631058,3.631058,3.630990,3.630990,3.631058,3.631058,3.630990,3.630990,3.631058,3.631058,3.630990,3.631052,3.631120,3.631120,3.631052,3.631052,3.631120,3.631120,3.631052,3.631052,3.631120,3.631120,3.631052,3.631083,3.631151,3.631151,3.631083,3.631083,3.631151,3.631151,3.631083,3.631083,3.631151,3.631151,3.631083
20.000000,303.086975,303.195465,303.195465,303.086975,303.086975,303.195465,303.195465,303.086975,303.086975,303.195465,303.195465,303.086975,303.082642,303.191071,303.191071,303.082642,303.082642,303.191071,303.191071,303.082642,303.082642,303.191071,303.191071,303.082642,303.079803,303.188202,303.188202,303.079803,303.079803,303.188202,303.188202,303.079803,303.079803,303.188202,303.188202,303.079803,303.078461,303.186829,303.186829,303.078461,303.078461,303.186829,303.186829,303.078461,303.078461,303.186829,303.186829,303.078461,2.938675,2.938735,2.938735,2.938675,2.938675,2.938735,2.938735,2.938675,2.938675,2.938735,2.938735,2.938675,2.938887,2.938947,2.938947,2.938887,2.938887,2.938947,2.938947,2.938887,2.938887,2.938947,2.938947,2.938887,2.939027,2.939088,2.939088,2.939027,2.939027,2.939088,2.939088,2.939027,2.939027,2.939088,2.939088,2.939027,2.939097,2.939157,2.939157,2.939097,2.939097,2.939157,2.939157,2.939097,2.939097,2.939157,2.939157,2.939097
30.000000,321.999054,322.774658,322.774658,321.999054,321.999054,322.774658,322.774658,321.999054,321.999054,322.774658,322.774658,321.999054,321.997467,322.773407,322.773407,321.997467,321.997467,322.773407,322.773407,321.997467,321.997467,322.773407,322.773407,321.997467,321.978241,322.752991,322.752991,321.978241,321.978241,322.752991,322.752991,321.978241,321.978241,322.752991,322.752991,321.978241,321.990723,322.766174,322.766174,321.990723,321.990723,322.766174,322.766174,321.990723,321.990723,322.766174,322.766174,321.990723,1.789949,1.787701,1.787701,1.789949,1.789949,1.787701,1.787701,1.789949,1.789949,1.787701,1.787701,1.789949,1.790020,1.787770,1.787770,1.790020,1.790020,1.787770,1.787770,1.790020,1.790020,1.787770,1.787770,1.790020,1.790108,1.787863,1.787863,1.790108,1.790108,1.787863,1.787863,1.790108,1.790108,1.787863,1.787863,1.790108,1.790102,1.787855,1.787855,1.790102,1.790102,1.787855,1.787855,1.790102,1.790102,1.787855,1.787855,1.790102
40.000000,320.843719,322.170746,322.170746,320.843719,320.843719,322.170746,322.170746,320.843719,320.843719,322.170746,322.170746,320.843719,320.842255,322.169586,322.169586,320.842255,320.842255,322.169586,322.169586,320.842255,320.842255,322.169586,322.169586,320.842255,320.823975,322.149689,322.149689,320.823975,320.823975,322.149689,322.149689,320.823975,320.823975,322.149689,322.149689,320.823975,320.835876,322.162598,322.162598,320.835876,320.835876,322.162598,322.162598,320.835876,320.835876,322.162598,322.162598,320.835876,3.833109,3.832615,3.832615,3.833109,3.833109,3.832615,3.832615,3.833109,3.833109,3.832615,3.832615,3.833109,3.833177,3.832683,3.832683,3.833177,3.833177,3.832683,3.832683,3.833177,3.833177,3.832683,3.832683,3.833177,3.833223,3.832730,3.832730,3.833223,3.833223,3.832730,3.832730,3.833223,3.833223,3.832730,3.832730,3.833223,3.833245,3.832752,3.832752,3.833245,3.833245,3.832752,3.832752,3.833245,3.833245,3.832752,3.832752,3.833245
50.000000,319.744385,321.581726,321.581726,319.744385,319.744385,321.581726,321.581726,319.744385,319.744385,321.581726,321.581726,319.744385,319.742981,321.580597,321.580597,319.742981,319.742981,321.580597,321.580597,319.742981,319.742981,321.580597,321.580597,319.742981,319.725586,321.561188,321.561188,319.725586,319.725586,321.561188,321.561188,319.725586,319.725586,321.561188,321.561188,319.725586,319.736908,321.573761,321.573761,319.736908,319.736908,321.573761,321.573761,319.736908,319.736908,321.573761,321.573761,319.736908,3.914540,3.914171,3.914171,3.914540,3.914540,3.914171,3.914171,3.914540,3.914540,3.914171,3.914171,3.914540,3.914564,3.914194,3.914194,3.914564,3.914564,3.914194,3.914194,3.914564,3.914564,3.914194,3.914194,3.914564,3.914581,3.914212,3.914212,3.914581,3.914581,3.914212,3.914212,3.914581,3.914581,3.914212,3.914212,3.914581,3.914587,3.914218,3.914218,3.914587,3.914587,3.914218,3.914218,3.914587,3.914587,3.914218,3.914218,3.914587
60.000000,318.698303,321.007141,321.007141,318.698303,318.698303,321.007141,321.007141,318.698303,318.698303,321.007141,321.007141,318.698303,318.696991,321.006042,321.006042,318.696991,318.696991,321.006042,321.006042,318.696991,318.696991,321.006042,321.006042,318.696991,318.680420,320.987122,320.987122,318.680420,318.680420,320.987122,320.987122,318.680420,318.680420,320.987122,320.987122,318.680420,318.691193,320.999390,320.999390,318.691193,318.691193,320.999390,320.999390,318.691193,318.691193,320.999390,320.999390,318.691193,3.949717,3.949382,3.949382,3.949717,3.949717,3.949382,3.949382,3.949717,3.949717,3.949382,3.949382,3.949717,3.949735,3.949400,3.949400,3.949735,3.949735,3.949400,3.949400,3.949735,3.949735,3.949400,3.949400,3.949735,3.949748,3.949414,3.949414,3.949748,3.949748,3.949414,3.949414,3.949748,3.949748,3.949414,3.949414,3.949748,3.949754,3.949419,3.949419,3.949754,3.949754,3.949419,3.949419,3.949754,3.949754,3.949419,3.949419,3.949754
70.000000,317.702881,320.446625,320.446625,317.702881,317.702881,320.446625,320.446625,317.702881,317.702881,320.446625,320.446625,317.702881,317.701630,320.445557,320.445557,317.701630,317.701630,320.445557,320.445557,317.701630,317.701630,320.445557,320.445557,317.701630,317.685883,320.427094,320.427094,317.685883,317.685883,320.427094,320.427094,317.685883,317.685883,320.427094,320.427094,317.685883,317.696136,320.439087,320.439087,317.696136,317.696136,320.439087,320.439087,317.696136,317.696136,320.439087,320.439087,317.696136,3.972739,3.972434,3.972434,3.972739,3.972739,3.972434,3.972434,3.972739,3.972739,3.972434,3.972434,3.972739,3.972755,3.972449,3.972449,3.972755,3.972755,3.972449,3.972449,3.972755,3.972755,3.972449,3.972449,3.972755,3.972766,3.972461,3.972461,3.972766,3.972766,3.972461,3.972461,3.972766,3.972766,3.972461,3.972461,3.972766,3.972771,3.972466,3.972466,3.972771,3.972771,3.972466,3.972466,3.972771,3.972771,3.972466,3.972466,3.972771
80.000000,316.755707,319.899872,319.899872,316.755707,316.755707,319.899872,319.899872,316.755707,316.755707,319.899872,319.899872,316.755707,316.754517,319.898834,319.898834,316.754517,316.754517,319.898834,319.898834,316.754517,316.754517,319.898834,319.898834,316.754517,316.739532,319.880829,319.880829,316.739532,316.739532,319.880829,319.880829,316.739532,316.739532,319.880829,319.880829,316.739532,316.749298,319.892517,319.892517,316.749298,316.749298,319.892517,319.892517,316.749298,316.749298,319.892517,319.892517,316.749298,3.989577,3.989302,3.989302,3.989577,3.989577,3.989302,3.989302,3.989577,3.989577,3.989302,3.989302,3.989577,3.989591,3.989316,3.989316,3.989591,3.989591,3.989316,3.989316,3.989591,3.989591,3.989316,3.989316,3.989591,3.989601,3.989326,3.989326,3.989601,3.989601,3.989326,3.989326,3.989601,3.989601,3.989326,3.989326,3.989601,3.989605,3.989330,3.989330,3.989605,3.989605,3.989330,3.989330,3.989605,3.989605,3.989330,3.989330,3.989605
90.000000,315.854401,319.366547,319.366547,315.854401,315.854401,319.366547,319.366547,315.854401,315.854401,319.366547,319.366547,315.854401,315.853271,319.365509,319.365509,315.853271,315.853271,319.365509,319.365509,315.853271,315.853271,319.365509,319.365509,315.853271,315.839020,319.347961,319.347961,315.839020,315.839020,319.347961,319.347961,315.839020,315.839020,319.347961,319.347961,315.839020,315.848328,319.359344,319.359344,315.848328,315.848328,319.359344,319.359344,315.848328,315.848328,319.359344,319.359344,315.848328,4.002711,4.002470,4.002470,4.002711,4.002711,4.002470,4.002470,4.002711,4.002711,4.002470,4.002470,4.002711,4.002724,4.002482,4.002482,4.002724,4.002724,4.002482,4.002482,4.002724,4.002724,4.002482,4.002482,4.002724,4.002732,4.002491,4.002491,4.002732,4.002732,4.002491,4.002491,4.002732,4.002732,4.002491,4.002491,4.002732,4.002736,4.002494,4.002494,4.002736,4.002736,4.002494,4.002494,4.002736,4.002736,4.002494,4.002494,4.002736
